Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
AJ550635.1	4554	41.04084321475626	Microviridae	High-quality	Chlamydophila pecorum	virulent	cluster_152500	subcluster_191945
AJ969242.1	7878	23.01345519167301		Not-determined	Spiroplasma citri	virulent	cluster_24190	subcluster_30305
FQ482084.1	45522	49.681472694521325	Caudovirales	High-quality	Erwinia amylovora	virulent	cluster_223352	subcluster_281280
FR725450.1	23750	52.985263157894735	Caudovirales	Medium-quality	Nitrososphaera viennensis EN76	virulent	cluster_67564	subcluster_85097
AJ536073.2	14931	39.72942200790302		High-quality	Bacillus thuringiensis serovar israelensis	temperate	cluster_26036	subcluster_32746
HE983844.1	45469	52.00026391607469	Caudovirales	High-quality	Pseudomonas aeruginosa	virulent	cluster_262131	subcluster_328975
HG428758.1	41143	48.17587438932504	Caudovirales	High-quality	Brucella sp.	virulent	cluster_78863	subcluster_99184
LN610575.1	93503	49.205907831834274	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_233893	subcluster_294327
LN610576.1	83598	54.59101892389771	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_233205	subcluster_293532
LN610581.1	86668	54.55877601883048	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_268360	subcluster_336849
LN610582.1	84759	54.59833174058212	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_268360	subcluster_336850
LN610583.1	85783	54.52478929391605	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_268360	subcluster_336851
LN610585.1	57745	63.47562559528963	Caudovirales	High-quality	Pseudomonas aeruginosa	temperate	cluster_186886	subcluster_235723
LN610586.1	93053	49.25150183228912	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_229453	subcluster_288795
LN610587.1	93308	49.34625112530544	Caudovirales	Complete	Pseudomonas aeruginosa	virulent	cluster_177538	subcluster_224094
LN610588.1	66326	55.64032204565329	Caudovirales	High-quality	Pseudomonas aeruginosa	virulent	cluster_11026	subcluster_13686
LN681534.1	44129	28.502798613156884	Caudovirales	High-quality	Clostridium difficile	temperate	cluster_113235	subcluster_142792
HG796219.1	42492	61.757507295490925	Caudovirales	High-quality	Burkholderia pseudomallei	virulent	cluster_268361	subcluster_336853
HG796220.1	41882	61.77355427152476	Caudovirales	High-quality	Burkholderia pseudomallei	virulent	cluster_268361	subcluster_336855
HG796221.1	42112	61.785239361702125	Caudovirales	High-quality	Burkholderia pseudomallei	virulent	cluster_177539	subcluster_224095
LR031359.1	141133	35.78893667675172	Caudovirales	High-quality	Enterococcus	virulent	cluster_152445	subcluster_191880
X15031.1	3575	51.38461538461539	Riboviria	High-quality	Escherichia coli	virulent	cluster_250815	subcluster_315178
X60322.1	6087	45.178248726794806	Microviridae	High-quality	Escherichia coli	virulent	cluster_158413	subcluster_199459
X52107.1	7349	61.49135936862158	Inoviridae	Low-quality	Pseudomonas aeruginosa	temperate	cluster_67555	subcluster_85085
X14336.1	6744	42.71945432977461	Inoviridae	Medium-quality	Escherichia coli	virulent	cluster_63254	subcluster_79716
X02139.1	6883	40.54917913700422	Inoviridae	Medium-quality	Escherichia coli	virulent	cluster_215731	subcluster_271768
X03869.1	3466	47.86497403346797	Riboviria	High-quality	Escherichia coli	virulent	cluster_68527	subcluster_86650
V00642.1	3569	52.115438498178754	Riboviria	High-quality	Escherichia coli	virulent	cluster_110885	subcluster_139791
X07489.1	4276	50.25724976613658	Riboviria	High-quality	Escherichia coli	virulent	cluster_39628	subcluster_49797
V00657.1	5577	45.68764568764569	Microviridae	High-quality	Escherichia coli	virulent	cluster_177517	subcluster_224073
