Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
Mycobacterium_phage_NuevoMundo	155943	64.74545186382204	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_27695	subcluster_34803
Mycobacterium_phage_Phusco	155060	64.72591254998066	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_15369	subcluster_19259
Mycobacterium_phage_Goose	50645	65.13772336854576	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_152510	subcluster_191957
Mycobacterium_phage_Kloppinator	68480	66.5026285046729	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_59811	subcluster_75485
Mycobacterium_phage_Yoshi	58714	61.02292468576489	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_87326	subcluster_110201
Gordonia_phage_ReMo	52601	61.93988707439022	Caudovirales	High-quality	Gordonia terrae	temperate	cluster_277524	subcluster_348660
Gordonia_phage_Verity	61248	67.41771159874608	Caudovirales	High-quality	Gordonia terrae	virulent	cluster_72940	subcluster_92007
Arthrobacter_phage_Sonali	61073	67.7402452802384	Caudovirales	High-quality	Arthrobacter globiformis	temperate	cluster_229496	subcluster_288850
Mycobacterium_phage_Silvafighter	43243	66.26043521494809	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_262159	subcluster_329010
Mycobacterium_phage_YungJamal	70214	65.34024553507848	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_48800	subcluster_61328
Mycobacterium_phage_Pops	68367	66.6008454371261	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_212880	subcluster_267803
Gordonia_phage_Sticker17	73299	59.079932877665456	Caudovirales	Complete	Gordonia terrae	virulent	cluster_72943	subcluster_92010
Rhodococcus_phage_E3	142563	67.46561169447894	Caudovirales	High-quality	Corynebacterium equi	temperate	cluster_159233	subcluster_200481
Mycobacterium_phage_Thresher	76192	63.047301553968914	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_269744	subcluster_338507
Mycobacterium_phage_Seagreen	57766	61.832219644773744	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_141581	subcluster_178275
Rhodococcus_phage_Krishelle	46985	58.54208790039375	Caudovirales	High-quality	Rhodococcus erythropolis	virulent	cluster_174577	subcluster_220335
Mycobacterium_phage_ForGetIt	51050	60.57786483839374	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_159248	subcluster_200506
Mycobacterium_phage_Bogie	48639	66.8866547420794	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_129385	subcluster_162826
Mycobacterium_phage_Jorgensen	53771	63.63839244202265	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_27650	subcluster_34728
Gordonia_phage_BobBob	58677	67.11147468343644	Caudovirales	High-quality	Gordonia terrae	virulent	cluster_228712	subcluster_287878
Mycobacterium_phage_Alice	153401	64.6808039061023	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_113242	subcluster_142799
Mycobacterium_phage_Vaishali24	68398	66.63645135822685	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_8072	subcluster_10031
Gordonia_phage_SpeedDemon	94031	64.55743318692771	Caudovirales	High-quality	Gordonia terrae	temperate	cluster_66169	subcluster_83372
Mycobacterium_phage_CheetO	68503	66.5226340452243	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_262150	subcluster_328996
Mycobacterium_phage_Altwerkus	68179	66.51901611933293	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_187137	subcluster_236073
Mycobacterium_phage_Texage	50081	64.04424831772528	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_44559	subcluster_55920
Arthrobacter_phage_Lizalica	43055	67.39054697479968	Caudovirales	High-quality	Arthrobacter globiformis	temperate	cluster_64242	subcluster_81008
Mycobacterium_phage_TroyPia	51407	63.91152955823137	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_272331	subcluster_342027
Microbacterium_phage_Gilda	56701	63.76254387047848	Caudovirales	High-quality	Microbacterium foliorum	temperate	cluster_280497	subcluster_352348
Mycobacterium_phage_Inky	59708	66.54887117304213	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_270346	subcluster_339236
Arthrobacter_phage_Franzy	49976	63.346406275012	Caudovirales	High-quality	Arthrobacter sp.	virulent	cluster_277539	subcluster_348683
Mycobacterium_phage_PetiteSangsue	51277	63.71277570840728	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_277556	subcluster_348707
Mycobacterium_phage_CentreCat	51412	63.870302653077104	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_87351	subcluster_110229
Streptomyces_phage_Brataylor	51067	65.69408815869349	Caudovirales	High-quality	Streptomyces venezuelae	virulent	cluster_78871	subcluster_99193
Corynebacterium_phage_Stiles	42846	67.66325911403631	Caudovirales	High-quality	Corynebacterium xerosis	temperate	cluster_22551	subcluster_28248
Mycobacterium_phage_Firecracker	71341	65.49810067142316	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_87310	subcluster_110181
Gordonia_phage_MichaelScott	48397	66.01855486910345	Caudovirales	High-quality	Gordonia terrae	temperate	cluster_154680	subcluster_194617
Mycobacterium_phage_HortumSL17	53426	62.649271890090965	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_194007	subcluster_244628
Mycobacterium_phage_Mryolo	50505	63.97386397386398	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_150391	subcluster_189527
Mycobacterium_phage_Abrogate	52530	63.75594898153436	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_233900	subcluster_294334
Mycobacterium_phage_Gumball	64807	59.55375190951595	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_273768	subcluster_343887
Streptomyces_phage_RosaAsantewaa	42730	58.86262578984321	Caudovirales	Medium-quality	Streptomyces mirabilis	virulent	cluster_123401	subcluster_155438
Mycobacterium_phage_StAnnes	59357	61.80231480701518	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_17523	subcluster_21991
Rhodococcus_phage_Rasputin	46568	58.79788696100327	Caudovirales	High-quality	Rhodococcus erythropolis	virulent	cluster_78909	subcluster_99254
Mycobacterium_phage_Sassafras	57051	61.37491016809521	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_154659	subcluster_194586
Mycobacterium_phage_Timothy	51970	63.7002116605734	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_66199	subcluster_83415
Arthrobacter_phage_Vulture	43336	61.563134576333766	Caudovirales	High-quality	Arthrobacter sp.	virulent	cluster_55600	subcluster_70020
Arthrobacter_phage_Yank	15524	60.2293223396032	Caudovirales	High-quality	Arthrobacter sp.	virulent	cluster_110409	subcluster_139110
Mycobacterium_phage_Rebel	40580	66.5179891572203	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_110857	subcluster_139756
Mycobacterium_phage_Bunnies	48822	67.10294539347016	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_154686	subcluster_194623
Mycobacterium_phage_Zakai	76363	58.9094194832576	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_199292	subcluster_251164
Microbacterium_phage_Cressida	55957	70.29862215629859	Caudovirales	High-quality	Microbacterium paraoxydans	temperate	cluster_250842	subcluster_315206
Mycobacterium_phage_TarsusIV	52704	62.95537340619308	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_217932	subcluster_274601
Mycobacterium_phage_Puppy	50084	63.78084817506589	Caudovirales	High-quality	Mycobacterium phlei	temperate	cluster_174534	subcluster_220284
Mycobacterium_phage_SarFire	53701	63.812591944284094	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_186887	subcluster_235725
Mycobacterium_phage_Gadjet	67949	67.48590854905885	Caudovirales	High-quality	Mycobacterium smegmatis	virulent	cluster_59793	subcluster_75460
Mycobacterium_phage_ChaylaJr	154973	64.64222800100663	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_27696	subcluster_34804
Arthrobacter_phage_Sarge	36407	63.48504408492872	Caudovirales	High-quality	Arthrobacter globiformis	temperate	cluster_15370	subcluster_19260
Mycobacterium_phage_Patter	155470	64.70766064192449	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_72951	subcluster_92020
Mycobacterium_phage_Medusa	51384	63.93235248326328	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_272331	subcluster_342027
Gordonia_phage_Twister6	57804	67.72195695799599	Caudovirales	High-quality	Gordonia terrae	temperate	cluster_247871	subcluster_311386
