Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster	Phage_source
OTU_1062	50438	29.731551607914668	β-crassviridae	Low-quality	-	virulent	cluster_433858	subcluster_523538	IGVD
OTU_1324	45463	41.43369333304005	Madsviridae	High-quality	Ruminococcus	temperate	cluster_408583	subcluster_493434	IGVD
OTU_3807	31363	49.00997991263591	Akselviridae	High-quality	Bifidobacterium	virulent	cluster_438840	subcluster_529236	IGVD
OTU_4054	29382	56.5278061398135	Hannibalviridae	Medium-quality	Faecalibacterium	temperate	cluster_381132	subcluster_460257	IGVD
OTU_4207	28178	53.832777344027264	Valdemarviridae	Medium-quality	Oscillibacter	temperate	cluster_147839	subcluster_178383	IGVD
OTU_5006	23205	45.86080586080586	Rigmorviridae	Low-quality	Bacteroides	virulent	cluster_534646	subcluster_643837	IGVD
OTU_10972	6461	37.857916731156166	Inesviridae	Complete	Bacteroides	virulent	cluster_500799	subcluster_602663	IGVD
OTU_11060	6391	38.507275856673445	Inesviridae	Complete	Bacteroides	virulent	cluster_394777	subcluster_476972	IGVD
OTU_11322	6204	41.408768536428106	Noraviridae	Complete	-	virulent	cluster_340294	subcluster_411007	IGVD
OTU_13541	3953	52.66885909435871	Selmaviridae	Low-quality	Bifidobacterium	virulent	cluster_233689	subcluster_282431	IGVD
OTU_672	60700	38.16968698517298	Bertilviridae	Medium-quality	Bacteroides	virulent	cluster_100756	subcluster_121850	IGVD
OTU_2478	38974	54.27207882177862	Jensviridae	Medium-quality	-	virulent	cluster_522711	subcluster_629405	IGVD
OTU_2574	38588	45.8536332538613	Gustavviridae	High-quality	Lachnoclostridium	temperate	cluster_112216	subcluster_135738	IGVD
OTU_3825	31187	37.55090261968128	Merleviridae	Medium-quality	Veillonella	temperate	cluster_387224	subcluster_467788	IGVD
OTU_5553	20808	42.33948481353325	Jeppeviridae	Low-quality	-	virulent	cluster_425442	subcluster_513396	IGVD
OTU_11225	6277	37.43826668790823	Almaviridae	Complete	Bacteroides	virulent	cluster_339041	subcluster_409544	IGVD
OTU_14339	3006	38.42315369261477	Anelloviridae	Complete	-	virulent	cluster_3966	subcluster_4935	IGVD
OTU_15309	2411	37.12152633761925	Anelloviridae	Medium-quality	-	virulent	cluster_3287	subcluster_4168	IGVD
OTU_343	80858	40.96317000173143	Gratiaviridae	Medium-quality	-	virulent	cluster_446246	subcluster_538088	IGVD
OTU_1409	44720	61.61672629695886	Charlieviridae	High-quality	Bifidobacterium	temperate	cluster_248380	subcluster_300037	IGVD
OTU_1908	41392	41.29783533049864	Alberteviridae	Medium-quality	Anaerostipes	temperate	cluster_391998	subcluster_473743	IGVD
OTU_2042	40836	37.00411401704379	Merleviridae	High-quality	Veillonella	temperate	cluster_363439	subcluster_438824	IGVD
OTU_2616	38368	50.53429941618015	Markviridae	Medium-quality	-	virulent	cluster_215126	subcluster_259229	IGVD
OTU_2833	37202	45.384656738885006	Najaviridae	High-quality	-	virulent	cluster_429904	subcluster_518794	IGVD
OTU_4515	25892	41.18260466553376	Gratiaviridae	Low-quality	Bacteroides	virulent	cluster_501383	subcluster_603345	IGVD
OTU_6283	17952	38.4692513368984	Merleviridae	Low-quality	Veillonella	virulent	cluster_432921	subcluster_522453	IGVD
OTU_10713	6702	37.73500447627574	Alpaviridae	Complete	Bacteroides	virulent	cluster_80386	subcluster_97368	IGVD
OTU_11566	6035	39.28748964374482	Alpaviridae	Complete	Bacteroides	virulent	cluster_228600	subcluster_276053	IGVD
OTU_14084	3257	42.769419711390846	Anelloviridae	High-quality	-	virulent	cluster_540446	subcluster_650861	IGVD
OTU_315	83756	40.380390658579685	Rebeccaviridae	High-quality	Bacteroides	virulent	cluster_161172	subcluster_194153	IGVD
OTU_357	78924	55.713091074958186	Mikkelineviridae	High-quality	Intestinimonas	temperate	cluster_330646	subcluster_399596	IGVD
OTU_430	71364	38.361078414887054	Lyngeviridae	Medium-quality	Ruthenibacterium	virulent	cluster_228722	subcluster_276183	IGVD
OTU_1379	44958	63.04328484363183	Bertramviridae	High-quality	Faecalibacterium	temperate	cluster_192487	subcluster_232165	IGVD
OTU_1573	43222	40.5673036879367	Madsviridae	High-quality	-	virulent	cluster_433859	subcluster_523539	IGVD
OTU_3913	30529	54.55141013462609	Akselviridae	Complete	Bifidobacterium	virulent	cluster_408584	subcluster_493435	IGVD
OTU_4281	27611	52.413893013653976	Asgerviridae	Medium-quality	-	temperate	cluster_219900	subcluster_265342	IGVD
OTU_4625	25186	60.27157944890018	Ellinorviridae	Medium-quality	Bifidobacterium	temperate	cluster_381133	subcluster_460258	IGVD
OTU_4763	24327	56.028281333497766	Alberteviridae	Medium-quality	Flavonifractor	temperate	cluster_147840	subcluster_178384	IGVD
OTU_7653	14259	43.34104775930991	Markusviridae	Low-quality	-	virulent	cluster_534647	subcluster_643838	IGVD
OTU_9725	10011	52.92178603536111	Jeppeviridae	Low-quality	Christensenella	virulent	cluster_500800	subcluster_602664	IGVD
OTU_13506	4005	50.187265917603	Markviridae	Low-quality	Tannerella	virulent	cluster_521922	subcluster_628396	IGVD
OTU_14862	2811	36.85521166844539	Anelloviridae	High-quality	-	virulent	cluster_340295	subcluster_411008	IGVD
OTU_14929	2760	38.731884057971016	Anelloviridae	High-quality	-	virulent	cluster_465888	subcluster_560991	IGVD
OTU_790	57817	49.1049345348254	Sisseviridae	Complete	Bifidobacterium	virulent	cluster_233690	subcluster_282432	IGVD
OTU_1312	45576	43.5251009303142	Alberteviridae	High-quality	-	virulent	cluster_100757	subcluster_121851	IGVD
OTU_1550	43430	51.49666129403639	Hannahviridae	Medium-quality	Bacteroides	virulent	cluster_522712	subcluster_629406	IGVD
OTU_3427	33934	32.31861849472505	Leaviridae	Low-quality	Bacillus	temperate	cluster_112217	subcluster_135739	IGVD
OTU_3598	32916	42.27123587313161	Gustavviridae	Medium-quality	Ruminococcus	temperate	cluster_511691	subcluster_616330	IGVD
OTU_3877	30808	48.44845494676707	Elenaviridae	Medium-quality	Flavonifractor	virulent	cluster_425443	subcluster_513397	IGVD
OTU_4023	29637	35.8605796808044	Pippiviridae	Low-quality	-	virulent	cluster_339042	subcluster_409545	IGVD
OTU_4834	23975	53.347236704900936	Sisseviridae	Low-quality	-	virulent	cluster_3967	subcluster_4936	IGVD
OTU_5262	22007	46.289816876448405	Alberteviridae	Low-quality	Eisenbergiella	virulent	cluster_410171	subcluster_495391	IGVD
OTU_5812	19677	51.03420236824719	Ulrikviridae	Low-quality	-	temperate	cluster_446247	subcluster_538089	IGVD
OTU_5917	19228	45.631370917412106	Najaviridae	Medium-quality	-	virulent	cluster_248381	subcluster_300038	IGVD
