Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
J02448.1	6407	40.939597315436245	Inoviridae	High-quality	Escherichia coli	virulent	cluster_269726	subcluster_338485
M14428.1	5386	44.33717044188637		Medium-quality	Escherichia coli C	virulent	cluster_24186	subcluster_30301
AF059243.1	4248	50.82391713747646	Riboviria	High-quality	Enterobacteriaceae	virulent	cluster_39628	subcluster_49796
AF227250.1	3486	46.52897303499713	Riboviria	High-quality	Escherichia coli	virulent	cluster_68527	subcluster_86649
AF323671.1	14957	35.87617837801698	Caudovirales	Complete	Lactococcus lactis	temperate	cluster_120225	subcluster_151477
AF323672.1	14510	34.23845623707788	Caudovirales	Medium-quality	Lactococcus lactis	temperate	cluster_203471	subcluster_256165
AF323673.1	15179	33.03906713222215	Caudovirales	Low-quality	Lactococcus lactis	temperate	cluster_77990	subcluster_98154
AF527608.1	41724	47.09040360464002	Caudovirales	High-quality	Salmonella enterica subsp. enterica serovar Typhimurium	temperate	cluster_59786	subcluster_75453
AF452449.2	6834	43.50307287093942		High-quality	Vibrio cholerae	virulent	cluster_119446	subcluster_150452
AY441783.1	14946	48.34069316205005		Complete	Enterobacteriaceae	virulent	cluster_266975	subcluster_335056
AY526908.1	42663	65.43843611560368	Caudovirales	High-quality	Bordetella bronchiseptica	temperate	cluster_39600	subcluster_49764
AY526909.1	42638	65.40175430367277	Caudovirales	High-quality	Bordetella bronchiseptica	temperate	cluster_39600	subcluster_49766
AY751298.1	5577	45.93867670790748	Microviridae	High-quality	Enterobacteriaceae	virulent	cluster_177517	subcluster_224073
AY848684.1	14935	48.2557750251088		Complete	Enterobacteriaceae	virulent	cluster_266975	subcluster_335056
AY848685.1	14937	48.22922943027382		Complete	Enterobacteriaceae	virulent	cluster_266975	subcluster_335056
AY848687.1	14939	48.18260927772943		Complete	Enterobacteriaceae	virulent	cluster_266975	subcluster_335056
AY848688.1	14942	48.35363405166645		Complete	Enterobacteriaceae	virulent	cluster_266975	subcluster_335056
AY954948.1	15603	31.41703518554124	Caudovirales	High-quality	Staphylococcus aureus	temperate	cluster_63257	subcluster_79719
DQ079878.1	6097	45.0877480728227	Microviridae	High-quality	Escherichia coli; Salmonella enterica	virulent	cluster_268434	subcluster_336931
DQ079880.1	5386	44.485703676197545		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079881.1	5386	44.35573709617527		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079882.1	5386	44.72707018195321		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079883.1	5386	44.467137021908655		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079884.1	5386	44.8384701076866		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079885.1	5386	44.485703676197545		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079886.1	5386	44.87560341626439		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079887.1	5386	45.07983661344226		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079888.1	5386	44.44857036761975		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079889.1	5386	44.50427033048644		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079890.1	5386	44.57853694764204		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079891.1	5386	44.39287040475307		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079892.1	5386	44.374303750464165		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079893.1	5386	44.54140363906424		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079894.1	5386	44.72707018195321		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
DQ079895.1	5387	44.55169853350659		Medium-quality	Escherichia coli; Salmonella enterica	virulent	cluster_8052	subcluster_10008
