Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster	Phage_source
biochar_0	259025	27.793842293214944	Caudoviricetes	Complete	Clostridium botulinum	temperate	cluster_519859	subcluster_625991	STV
biochar_1	246933	57.33782038042708	Caudoviricetes	Complete	Mycobacterium tuberculosis	virulent	cluster_151320	subcluster_182552	STV
biochar_2	153522	67.66326650252081	Caudoviricetes	Complete	Mycobacterium smegmatis	temperate	cluster_47933	subcluster_58583	STV
biochar_3	153521	67.65002833488577	Caudoviricetes	Complete	Mycobacterium smegmatis	virulent	cluster_47933	subcluster_58583	STV
biochar_4	153377	67.86349974246465	Caudoviricetes	Complete	Corynebacterium equi	virulent	cluster_164678	subcluster_198316	STV
biochar_5	144803	69.60629268730621	Caudoviricetes	Complete	Salinispora arenicola	temperate	cluster_218019	subcluster_263103	STV
biochar_6	127655	35.353100152755474	Caudoviricetes	Complete	Bacteroides uniformis	virulent	cluster_427565	subcluster_516039	STV
biochar_7	127076	67.70672668324468	Caudoviricetes	Medium-quality	Mycobacterium smegmatis	temperate	cluster_376362	subcluster_454506	STV
biochar_8	122279	33.20275762804734	Caudoviricetes	Complete	Enterobacter cloacae	virulent	cluster_2809	subcluster_3629	STV
biochar_9	117645	67.4070296230184	Caudoviricetes	Complete	Mycobacteroides abscessus	virulent	cluster_7751	subcluster_9520	STV
biochar_10	111542	59.23508633519212	Caudoviricetes	Complete	Streptomyces lividans	temperate	cluster_141093	subcluster_170088	STV
biochar_11	111521	59.23099685261072	Caudoviricetes	Complete	Streptomyces lividans	temperate	cluster_141093	subcluster_170089	STV
biochar_12	110876	68.24650961434395	Caudoviricetes	High-quality	Mycobacterium tuberculosis	temperate	cluster_500600	subcluster_602425	STV
biochar_13	110278	30.776764177805184	Caudoviricetes	Medium-quality	Yersinia pseudotuberculosis	virulent	cluster_274579	subcluster_331399	STV
biochar_14	108050	57.753817677001386	Caudoviricetes	Complete	Mycobacterium tuberculosis	virulent	cluster_450468	subcluster_542986	STV
biochar_15	105009	51.736517822281904	Caudoviricetes	Medium-quality	Pseudomonas syringae	virulent	cluster_185325	subcluster_223575	STV
biochar_16	103579	62.94229525289875	Caudoviricetes	Complete	Streptomyces xanthochromogenes	temperate	cluster_378463	subcluster_457179	STV
biochar_17	100436	57.75618304193716	Caudoviricetes	Medium-quality	Lawsonia intracellularis	virulent	cluster_263886	subcluster_318613	STV
biochar_18	100237	62.901922443808175	Caudoviricetes	High-quality	Streptomyces xanthochromogenes	temperate	cluster_491575	subcluster_591724	STV
biochar_19	99663	65.3371863178913	Caudoviricetes	Low-quality	Corynebacterium diphtheriae	virulent	cluster_243281	subcluster_294218	STV
biochar_21	97428	62.60315309767213	Caudoviricetes	High-quality	Pseudomonas putida	virulent	cluster_33561	subcluster_40803	STV
biochar_22	95341	65.55207098729822	Caudoviricetes	Medium-quality	Gordonia terrae	temperate	cluster_409061	subcluster_493971	STV
biochar_23	95069	65.30730311668367	Caudoviricetes	Medium-quality	Burkholderia vietnamiensis	virulent	cluster_116512	subcluster_140962	STV
biochar_24	92791	70.09947085385436	Caudoviricetes	Complete	Mycobacterium smegmatis	temperate	cluster_70229	subcluster_85231	STV
biochar_25	92695	55.89298236150817	Caudoviricetes	Medium-quality	Lawsonia intracellularis	temperate	cluster_247860	subcluster_299459	STV
biochar_26	91769	40.8220640957186	Caudoviricetes	Complete	Streptococcus agalactiae	virulent	cluster_481371	subcluster_579456	STV
biochar_27	90027	40.161284947848976	Caudoviricetes	Complete	Streptococcus agalactiae	virulent	cluster_530805	subcluster_639241	STV
biochar_28	89662	66.56443086257278	Caudoviricetes	Low-quality	Lawsonia intracellularis	virulent	cluster_436221	subcluster_526235	STV
