Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
NC_001330.1	6087	45.178248726794806	Microviridae	High-quality	Escherichia coli	virulent	cluster_158413	subcluster_199459
NC_001331.1	7349	61.49135936862158	Inoviridae	Low-quality	Pseudomonas aeruginosa	temperate	cluster_67555	subcluster_85085
NC_001332.1	6744	42.71945432977461	Inoviridae	Medium-quality	Escherichia coli	virulent	cluster_63254	subcluster_79716
NC_001335.1	52297	62.25787330057173	Caudovirales	High-quality	Mycobacterium smegmatis	temperate	cluster_272329	subcluster_342024
NC_001341.1	4491	33.28879982186596		Not-determined	Acholeplasma laidlawii	virulent	cluster_229441	subcluster_288779
NC_001365.1	8273	22.8937507554696		High-quality	Spiroplasma citri	virulent	cluster_64617	subcluster_81506
NC_001396.1	7308	58.07334428024083	Inoviridae	High-quality	Xanthomonas campestris	temperate	cluster_273759	subcluster_343877
NC_002014.1	6883	40.54917913700422	Inoviridae	Medium-quality	Escherichia coli	virulent	cluster_215731	subcluster_271768
NC_001416.1	48502	49.85773782524432	Caudovirales	High-quality	Escherichia coli	temperate	cluster_27966	subcluster_35111
NC_001418.1	5833	45.36259214812275	Inoviridae	High-quality	Pseudomonas aeruginosa	virulent	cluster_217466	subcluster_273919
NC_001422.1	5386	44.76420349053101		Medium-quality	Escherichia coli	virulent	cluster_8052	subcluster_10008
NC_001423.1	19366	39.66229474336466	Caudovirales	High-quality	Bacillus subtilis	virulent	cluster_152478	subcluster_191919
NC_001426.1	3466	47.86497403346797	Riboviria	High-quality	Escherichia coli	virulent	cluster_68527	subcluster_86650
NC_001447.1	11965	31.959882992060173	Caudovirales	Not-determined	Acholeplasma laidlawii	temperate	cluster_26142	subcluster_32881
NC_001604.1	39937	48.39872799659464	Caudovirales	Complete	Escherichia coli	virulent	cluster_251005	subcluster_315408
NC_001609.1	11624	49.526841018582246		High-quality	Escherichia coli	temperate	cluster_87300	subcluster_110169
NC_001628.1	3588	54.20847268673356	Riboviria	High-quality	Pseudomonas aeruginosa	virulent	cluster_33704	subcluster_42337
NC_001629.1	22195	35.99008785762559	Caudovirales	High-quality	Lactococcus	virulent	cluster_204663	subcluster_257606
NC_001697.1	32355	40.00618142481842	Caudovirales	High-quality	Haemophilus influenzae	temperate	cluster_277673	subcluster_348842
NC_001706.1	22172	36.30705394190871	Caudovirales	High-quality	Lactococcus lactis	virulent	cluster_161264	subcluster_202975
NC_001730.1	6089	44.91706355723436	Microviridae	High-quality	Escherichia coli	virulent	cluster_158413	subcluster_199461
NC_001741.1	4877	36.497847037112976	Microviridae	High-quality	Chlamydia psittaci	virulent	cluster_31200	subcluster_39185
NC_001825.1	19343	38.830584707646175		Complete	Streptococcus pneumoniae	virulent	cluster_138008	subcluster_173892
NC_001835.1	28451	34.5119679448877	Caudovirales	High-quality	Lactococcus lactis	virulent	cluster_110820	subcluster_139716
NC_001884.1	134416	34.63501368884657	Caudovirales	High-quality	Bacillus subtilis	temperate	cluster_8044	subcluster_10000
NC_001890.1	4215	48.54092526690392	Riboviria	High-quality	Escherichia coli	virulent	cluster_10718	subcluster_13307
NC_001895.1	33593	50.16818980144673	Caudovirales	High-quality	Escherichia coli	temperate	cluster_86646	subcluster_109159
NC_001900.1	49136	63.52979485509606	Caudovirales	High-quality	Mycobacterium tuberculosis	temperate	cluster_199611	subcluster_251570
NC_001901.1	46375	51.17196765498653	Caudovirales	High-quality	Escherichia coli	temperate	cluster_11060	subcluster_13725
NC_001902.1	26111	46.306154494274445	Caudovirales	Medium-quality	Methanobacterium	virulent	cluster_44528	subcluster_55883
NC_001909.1	31754	34.34527933488694	Caudovirales	High-quality	Lactococcus lactis	virulent	cluster_64213	subcluster_80979
NC_001942.1	15644	29.03349526975198	Caudovirales	Medium-quality	Metamycoplasma arthritidis	temperate	cluster_22520	subcluster_28213
NC_001954.1	8454	43.70712088951975	Inoviridae	High-quality	Escherichia coli	virulent	cluster_79113	subcluster_99504
NC_001956.1	8651	44.52664431857588	Inoviridae	High-quality	Vibrio cholerae	virulent	cluster_156819	subcluster_197308
NC_001998.1	4529	40.98034886288364	Microviridae	High-quality	Chlamydia psittaci	virulent	cluster_152500	subcluster_191943
NC_000924.1	61670	49.36760175125669	Caudovirales	High-quality	Escherichia coli	temperate	cluster_152435	subcluster_191866
NC_000867.1	10079	42.166881635082845		High-quality	Pseudoalteromonas	virulent	cluster_39598	subcluster_49760
